Date,Store,SKU,SalesQuantity,InventoryLevel,UnitCost,SellingPrice,LeadTime,SupplierID,Category,OrderedDate,OrderedQuantity,OrderStatus
2023-01-03,Store003,SKU003,14,46,27.47,32.96,3,SUP003,Books,2022-12-13,73,Delivered
2023-01-04,Store001,SKU001,15,97,305.84,367.01,7,SUP001,Electronics,2022-12-26,81,Shipped
2023-01-04,Store001,SKU002,20,46,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-04,Store001,SKU003,11,93,27.47,32.96,3,SUP003,Books,,0,None
2023-01-04,Store002,SKU001,17,21,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-04,Store002,SKU002,6,53,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-04,Store002,SKU003,4,83,27.47,32.96,3,SUP003,Books,,0,None
2023-01-04,Store003,SKU001,7,16,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-04,Store003,SKU002,16,33,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-04,Store003,SKU003,21,67,27.47,32.96,3,SUP003,Books,,0,None
2023-01-05,Store001,SKU001,20,46,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-05,Store001,SKU002,8,78,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-05,Store001,SKU003,8,53,27.47,32.96,3,SUP003,Books,,0,None
2023-01-05,Store002,SKU001,28,46,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-05,Store002,SKU002,18,78,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-05,Store002,SKU003,11,82,27.47,32.96,3,SUP003,Books,,0,None
2023-01-05,Store003,SKU001,20,81,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-05,Store003,SKU002,8,36,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-05,Store003,SKU003,14,30,27.47,32.96,3,SUP003,Books,,0,None
2023-01-06,Store001,SKU001,6,87,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-06,Store001,SKU002,24,32,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-06,Store001,SKU003,14,57,27.47,32.96,3,SUP003,Books,,0,None
2023-01-06,Store002,SKU001,34,48,305.84,367.01,7,SUP001,Electronics,2022-12-18,17,Delivered
2023-01-06,Store002,SKU002,14,60,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-06,Store002,SKU003,13,82,27.47,32.96,3,SUP003,Books,,0,None
2023-01-06,Store003,SKU001,12,79,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-06,Store003,SKU002,10,80,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-06,Store003,SKU003,6,64,27.47,32.96,3,SUP003,Books,,0,None
2023-01-07,Store001,SKU001,8,35,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-07,Store001,SKU002,18,11,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-07,Store001,SKU003,10,69,27.47,32.96,3,SUP003,Books,,0,None
2023-01-07,Store002,SKU001,16,92,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-07,Store002,SKU002,32,50,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-07,Store002,SKU003,17,56,27.47,32.96,3,SUP003,Books,,0,None
2023-01-07,Store003,SKU001,35,62,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-07,Store003,SKU002,16,58,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-07,Store003,SKU003,12,59,27.47,32.96,3,SUP003,Books,,0,None
2023-01-08,Store001,SKU001,12,52,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-08,Store001,SKU002,8,47,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-08,Store001,SKU003,19,28,27.47,32.96,3,SUP003,Books,,0,None
2023-01-08,Store002,SKU001,18,93,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-08,Store002,SKU002,43,29,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-08,Store002,SKU003,13,76,27.47,32.96,3,SUP003,Books,,0,None
2023-01-08,Store003,SKU001,23,20,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-08,Store003,SKU002,19,60,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-08,Store003,SKU003,4,57,27.47,32.96,3,SUP003,Books,2022-12-14,28,Delivered
2023-01-09,Store001,SKU001,17,58,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-09,Store001,SKU002,20,42,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-09,Store001,SKU003,5,36,27.47,32.96,3,SUP003,Books,,0,None
2023-01-09,Store002,SKU001,15,89,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-09,Store002,SKU002,17,67,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-09,Store002,SKU003,19,81,27.47,32.96,3,SUP003,Books,,0,None
2023-01-09,Store003,SKU001,18,21,305.84,367.01,7,SUP001,Electronics,2023-01-01,40,In Transit
2023-01-09,Store003,SKU002,15,91,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-09,Store003,SKU003,11,50,27.47,32.96,3,SUP003,Books,,0,None
2023-01-10,Store001,SKU001,14,96,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-10,Store001,SKU002,12,69,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-10,Store001,SKU003,17,75,27.47,32.96,3,SUP003,Books,,0,None
2023-01-10,Store002,SKU001,4,79,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-10,Store002,SKU002,21,64,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-10,Store002,SKU003,7,48,27.47,32.96,3,SUP003,Books,,0,None
2023-01-10,Store003,SKU001,26,59,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-10,Store003,SKU002,8,31,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-10,Store003,SKU003,3,21,27.47,32.96,3,SUP003,Books,,0,None
2023-01-11,Store001,SKU001,20,48,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-11,Store001,SKU002,15,15,69.57,144.82,5,SUP002,Clothing,2022-12-26,88,Delivered
2023-01-11,Store001,SKU003,12,13,27.47,32.96,3,SUP003,Books,2022-12-27,21,Delivered
2023-01-11,Store002,SKU001,7,61,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-11,Store002,SKU002,31,21,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-11,Store002,SKU003,15,50,27.47,32.96,3,SUP003,Books,,0,None
2023-01-11,Store003,SKU001,11,93,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-11,Store003,SKU002,22,74,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-11,Store003,SKU003,17,98,27.47,32.96,3,SUP003,Books,,0,None
2023-01-12,Store001,SKU001,14,54,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-12,Store001,SKU002,16,51,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-12,Store001,SKU003,10,32,27.47,32.96,3,SUP003,Books,,0,None
2023-01-12,Store002,SKU001,6,51,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-12,Store002,SKU002,18,40,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-12,Store002,SKU003,8,27,27.47,32.96,3,SUP003,Books,,0,None
2023-01-12,Store003,SKU001,20,13,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-12,Store003,SKU002,15,16,69.57,144.82,5,SUP002,Clothing,2022-12-19,47,Delivered
2023-01-12,Store003,SKU003,7,82,27.47,32.96,3,SUP003,Books,,0,None
2023-01-13,Store001,SKU001,6,87,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-13,Store001,SKU002,3,45,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-13,Store001,SKU003,13,80,27.47,32.96,3,SUP003,Books,,0,None
2023-01-13,Store002,SKU001,28,54,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-13,Store002,SKU002,22,37,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-13,Store002,SKU003,18,68,27.47,32.96,3,SUP003,Books,,0,None
2023-01-13,Store003,SKU001,17,12,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-13,Store003,SKU002,16,74,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-13,Store003,SKU003,9,92,27.47,32.96,3,SUP003,Books,,0,None
2023-01-14,Store001,SKU001,22,66,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-14,Store001,SKU002,24,61,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-14,Store001,SKU003,10,29,27.47,32.96,3,SUP003,Books,,0,None
2023-01-14,Store002,SKU001,23,49,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-14,Store002,SKU002,19,90,69.57,144.82,5,SUP002,Clothing,2022-12-24,33,Delivered
2023-01-14,Store002,SKU003,8,91,27.47,32.96,3,SUP003,Books,,0,None
2023-01-14,Store003,SKU001,19,43,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-14,Store003,SKU002,16,53,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-14,Store003,SKU003,11,30,27.47,32.96,3,SUP003,Books,,0,None
2023-01-15,Store001,SKU001,17,85,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-15,Store001,SKU002,31,79,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-15,Store001,SKU003,22,98,27.47,32.96,3,SUP003,Books,,0,None
2023-01-15,Store002,SKU001,12,52,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-15,Store002,SKU002,11,24,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-15,Store002,SKU003,4,44,27.47,32.96,3,SUP003,Books,,0,None
2023-01-15,Store003,SKU001,27,98,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-15,Store003,SKU002,11,42,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-15,Store003,SKU003,10,12,27.47,32.96,3,SUP003,Books,,0,None
2023-01-16,Store001,SKU001,17,92,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-16,Store001,SKU002,13,93,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-16,Store001,SKU003,6,55,27.47,32.96,3,SUP003,Books,2022-12-22,26,Delivered
2023-01-16,Store002,SKU001,17,50,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-16,Store002,SKU002,13,72,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-16,Store002,SKU003,11,62,27.47,32.96,3,SUP003,Books,,0,None
2023-01-16,Store003,SKU001,20,75,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-16,Store003,SKU002,9,77,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-16,Store003,SKU003,14,72,27.47,32.96,3,SUP003,Books,,0,None
2023-01-17,Store001,SKU001,17,21,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-17,Store001,SKU002,11,98,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-17,Store001,SKU003,8,72,27.47,32.96,3,SUP003,Books,2023-01-05,36,Delivered
2023-01-17,Store002,SKU001,7,56,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-17,Store002,SKU002,13,65,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-17,Store002,SKU003,18,28,27.47,32.96,3,SUP003,Books,,0,None
2023-01-17,Store003,SKU001,17,21,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-17,Store003,SKU002,17,35,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-17,Store003,SKU003,18,45,27.47,32.96,3,SUP003,Books,,0,None
2023-01-18,Store001,SKU001,16,49,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-18,Store001,SKU002,18,99,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-18,Store001,SKU003,8,86,27.47,32.96,3,SUP003,Books,,0,None
2023-01-18,Store002,SKU001,18,49,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-18,Store002,SKU002,18,13,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-18,Store002,SKU003,10,81,27.47,32.96,3,SUP003,Books,2022-12-26,70,Delivered
2023-01-18,Store003,SKU001,25,98,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-18,Store003,SKU002,13,79,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-18,Store003,SKU003,21,24,27.47,32.96,3,SUP003,Books,,0,None
2023-01-19,Store001,SKU001,17,95,305.84,367.01,7,SUP001,Electronics,2023-01-07,96,Delivered
2023-01-19,Store001,SKU002,12,57,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-19,Store001,SKU003,14,93,27.47,32.96,3,SUP003,Books,,0,None
2023-01-19,Store002,SKU001,17,66,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-19,Store002,SKU002,23,91,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-19,Store002,SKU003,16,38,27.47,32.96,3,SUP003,Books,,0,None
2023-01-19,Store003,SKU001,20,53,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-19,Store003,SKU002,4,57,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-19,Store003,SKU003,8,53,27.47,32.96,3,SUP003,Books,2022-12-22,24,Delivered
2023-01-20,Store001,SKU001,21,97,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-20,Store001,SKU002,16,55,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-20,Store001,SKU003,17,81,27.47,32.96,3,SUP003,Books,,0,None
2023-01-20,Store002,SKU001,36,35,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-20,Store002,SKU002,22,17,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-20,Store002,SKU003,8,69,27.47,32.96,3,SUP003,Books,2023-01-09,39,Delivered
2023-01-20,Store003,SKU001,16,94,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-20,Store003,SKU002,8,21,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-20,Store003,SKU003,11,91,27.47,32.96,3,SUP003,Books,,0,None
2023-01-21,Store001,SKU001,19,71,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-21,Store001,SKU002,5,31,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-21,Store001,SKU003,20,57,27.47,32.96,3,SUP003,Books,,0,None
2023-01-21,Store002,SKU001,19,16,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-21,Store002,SKU002,33,39,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-21,Store002,SKU003,18,67,27.47,32.96,3,SUP003,Books,,0,None
2023-01-21,Store003,SKU001,34,39,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-21,Store003,SKU002,9,37,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-21,Store003,SKU003,5,85,27.47,32.96,3,SUP003,Books,,0,None
2023-01-22,Store001,SKU001,20,27,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-22,Store001,SKU002,11,77,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-22,Store001,SKU003,5,71,27.47,32.96,3,SUP003,Books,,0,None
2023-01-22,Store002,SKU001,14,10,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-22,Store002,SKU002,26,36,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-22,Store002,SKU003,19,87,27.47,32.96,3,SUP003,Books,,0,None
2023-01-22,Store003,SKU001,27,82,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-22,Store003,SKU002,9,47,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-22,Store003,SKU003,18,67,27.47,32.96,3,SUP003,Books,,0,None
2023-01-23,Store001,SKU001,16,15,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-23,Store001,SKU002,14,41,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-23,Store001,SKU003,10,38,27.47,32.96,3,SUP003,Books,2023-01-14,27,Delivered
2023-01-23,Store002,SKU001,14,69,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-23,Store002,SKU002,20,16,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-23,Store002,SKU003,15,23,27.47,32.96,3,SUP003,Books,,0,None
2023-01-23,Store003,SKU001,9,15,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-23,Store003,SKU002,11,39,69.57,144.82,5,SUP002,Clothing,2023-01-06,23,Delivered
2023-01-23,Store003,SKU003,20,47,27.47,32.96,3,SUP003,Books,,0,None
2023-01-24,Store001,SKU001,22,26,305.84,367.01,7,SUP001,Electronics,2023-01-18,33,Pending
2023-01-24,Store001,SKU002,12,31,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-24,Store001,SKU003,13,64,27.47,32.96,3,SUP003,Books,,0,None
2023-01-24,Store002,SKU001,26,86,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-24,Store002,SKU002,21,35,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-24,Store002,SKU003,13,22,27.47,32.96,3,SUP003,Books,,0,None
2023-01-24,Store003,SKU001,28,48,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-24,Store003,SKU002,13,31,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-24,Store003,SKU003,8,53,27.47,32.96,3,SUP003,Books,2022-12-30,19,Delivered
2023-01-25,Store001,SKU001,18,16,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-25,Store001,SKU002,26,90,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-25,Store001,SKU003,4,95,27.47,32.96,3,SUP003,Books,2023-01-03,33,Delivered
2023-01-25,Store002,SKU001,30,18,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-25,Store002,SKU002,14,14,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-25,Store002,SKU003,14,23,27.47,32.96,3,SUP003,Books,,0,None
2023-01-25,Store003,SKU001,16,82,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-25,Store003,SKU002,11,21,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-25,Store003,SKU003,31,40,27.47,32.96,3,SUP003,Books,,0,None
2023-01-26,Store001,SKU001,26,68,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-26,Store001,SKU002,23,97,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-26,Store001,SKU003,13,57,27.47,32.96,3,SUP003,Books,,0,None
2023-01-26,Store002,SKU001,28,60,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-26,Store002,SKU002,14,58,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-26,Store002,SKU003,3,80,27.47,32.96,3,SUP003,Books,,0,None
2023-01-26,Store003,SKU001,19,95,305.84,367.01,7,SUP001,Electronics,2023-01-24,24,Confirmed
2023-01-26,Store003,SKU002,19,77,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-26,Store003,SKU003,8,48,27.47,32.96,3,SUP003,Books,,0,None
2023-01-27,Store001,SKU001,14,60,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-27,Store001,SKU002,15,81,69.57,144.82,5,SUP002,Clothing,2023-01-16,42,Delivered
2023-01-27,Store001,SKU003,10,56,27.47,32.96,3,SUP003,Books,,0,None
2023-01-27,Store002,SKU001,36,51,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-27,Store002,SKU002,23,80,69.57,144.82,5,SUP002,Clothing,2023-01-19,37,Delivered
2023-01-27,Store002,SKU003,8,99,27.47,32.96,3,SUP003,Books,,0,None
2023-01-27,Store003,SKU001,34,47,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-27,Store003,SKU002,25,27,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-27,Store003,SKU003,13,18,27.47,32.96,3,SUP003,Books,,0,None
2023-01-28,Store001,SKU001,21,67,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-28,Store001,SKU002,18,90,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-28,Store001,SKU003,11,57,27.47,32.96,3,SUP003,Books,,0,None
2023-01-28,Store002,SKU001,24,76,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-28,Store002,SKU002,18,47,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-28,Store002,SKU003,24,56,27.47,32.96,3,SUP003,Books,,0,None
2023-01-28,Store003,SKU001,52,61,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-28,Store003,SKU002,12,28,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-28,Store003,SKU003,18,38,27.47,32.96,3,SUP003,Books,2023-01-04,68,Delivered
2023-01-29,Store001,SKU001,22,34,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-29,Store001,SKU002,28,22,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-29,Store001,SKU003,11,57,27.47,32.96,3,SUP003,Books,,0,None
2023-01-29,Store002,SKU001,19,26,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-29,Store002,SKU002,29,76,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-29,Store002,SKU003,9,14,27.47,32.96,3,SUP003,Books,,0,None
2023-01-29,Store003,SKU001,30,12,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-29,Store003,SKU002,19,89,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-29,Store003,SKU003,7,99,27.47,32.96,3,SUP003,Books,,0,None
2023-01-30,Store001,SKU001,17,32,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-30,Store001,SKU002,11,30,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-30,Store001,SKU003,8,58,27.47,32.96,3,SUP003,Books,,0,None
2023-01-30,Store002,SKU001,11,84,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-30,Store002,SKU002,15,61,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-30,Store002,SKU003,13,22,27.47,32.96,3,SUP003,Books,,0,None
2023-01-30,Store003,SKU001,14,80,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-30,Store003,SKU002,20,92,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-30,Store003,SKU003,9,59,27.47,32.96,3,SUP003,Books,,0,None
2023-01-31,Store001,SKU001,15,58,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-31,Store001,SKU002,25,87,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-31,Store001,SKU003,6,72,27.47,32.96,3,SUP003,Books,,0,None
2023-01-31,Store002,SKU001,18,31,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-31,Store002,SKU002,14,16,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-31,Store002,SKU003,8,50,27.47,32.96,3,SUP003,Books,,0,None
2023-01-31,Store003,SKU001,20,28,305.84,367.01,7,SUP001,Electronics,,0,None
2023-01-31,Store003,SKU002,23,81,69.57,144.82,5,SUP002,Clothing,,0,None
2023-01-31,Store003,SKU003,6,57,27.47,32.96,3,SUP003,Books,,0,None
2023-02-01,Store001,SKU001,7,32,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-01,Store001,SKU002,8,13,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-01,Store001,SKU003,6,56,27.47,32.96,3,SUP003,Books,,0,None
2023-02-01,Store002,SKU001,7,81,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-01,Store002,SKU002,5,43,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-01,Store002,SKU003,10,12,27.47,32.96,3,SUP003,Books,,0,None
2023-02-01,Store003,SKU001,11,26,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-01,Store003,SKU002,12,49,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-01,Store003,SKU003,10,62,27.47,32.96,3,SUP003,Books,,0,None
2023-02-02,Store001,SKU001,12,58,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-02,Store001,SKU002,16,80,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-02,Store001,SKU003,7,62,27.47,32.96,3,SUP003,Books,,0,None
2023-02-02,Store002,SKU001,18,12,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-02,Store002,SKU002,16,69,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-02,Store002,SKU003,2,16,27.47,32.96,3,SUP003,Books,,0,None
2023-02-02,Store003,SKU001,10,93,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-02,Store003,SKU002,10,15,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-02,Store003,SKU003,16,92,27.47,32.96,3,SUP003,Books,,0,None
2023-02-03,Store001,SKU001,9,95,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-03,Store001,SKU002,9,46,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-03,Store001,SKU003,7,59,27.47,32.96,3,SUP003,Books,,0,None
2023-02-03,Store002,SKU001,8,80,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-03,Store002,SKU002,1,97,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-03,Store002,SKU003,15,30,27.47,32.96,3,SUP003,Books,,0,None
2023-02-03,Store003,SKU001,12,96,305.84,367.01,7,SUP001,Electronics,,0,None
2023-02-03,Store003,SKU002,5,44,69.57,144.82,5,SUP002,Clothing,,0,None
2023-02-03,Store003,SKU003,15,48,27.47,32.96,3,SUP003,Books,,0,None
2023-02-04,Store001,SKU001,23,77,305.84,367.01,7,SUP001,Electronics,,0,None
